Station,Code,In station_base,In output,Shared by both,shared_by_all_three,in_sh_price_info,lng,lat,Province,Geographical Zone,City,District,Address
杜拉尔,,True,False,False,False,False,90.297302,28.685312,内蒙古自治区,华北,兴安盟,阿尔山市,兴安盟-阿尔山市
倭肯,WQB,True,True,True,False,False,130.530136,46.004307,黑龙江省,东北,七台河市,勃利县,七台河市-勃利县-倭肯镇
阳曲,YQV,True,True,True,False,False,112.68225,38.058069,山西省,华北,太原市,阳曲县,太原市-阳曲县-黄寨镇新阳东街
乌兰胡同,,True,False,False,False,False,,,内蒙古自治区,华北,包头市,达尔罕茂明安联合旗,包头市-达尔罕茂明安联合旗
乌海北,,True,False,False,False,False,106.779096,39.800676,内蒙古自治区,华北,乌海市,海勃湾区,乌海市-海勃湾区-新地乡110国道
春亭阁,,True,False,False,False,False,124.4925,49.791031,内蒙古自治区,华北,呼伦贝尔市,鄂伦春自治旗,呼伦贝尔市-鄂伦春自治旗-大杨树镇
钟家村,ZJY,True,True,True,False,False,109.469009,34.822315,陕西省,西北,渭南市,蒲城县,渭南市-蒲城县-荆姚镇钟家村
桓龙湖,,True,False,False,False,False,116.701051,23.376706,辽宁省,东北,本溪市,桓仁满族自治县,本溪市-桓仁满族自治县-鹤大高速公路西
红岘台,HTJ,True,True,True,False,False,104.834488,34.754101,甘肃省,西北,白银市,景泰县,白银市-景泰县-217省道
惠山,VCH,True,True,True,True,True,120.201933,31.669591,江苏省,华东,无锡市,惠山区,无锡市-惠山区-经一路
水源,OYJ,True,True,True,False,False,103.880501,36.141262,甘肃省,西北,兰州市,城关区,兰州市-城关区-中和乡水源村
韩城,HCY,True,True,True,False,False,110.442027,35.484403,陕西省,西北,渭南市,韩城市,渭南市-韩城市-普照路
白泉,BQL,True,True,True,False,False,122.157021,30.066101,吉林省,东北,辽源市,东辽县,辽源市-东辽县-东交大街157号
青川,QCE,True,True,True,False,False,105.34031141476872,32.19147740997934,四川省,西南,广元市,青川县,广元市-青川县-竹园镇122县道
台安南,TAD,True,True,True,False,False,122.38382,41.357677,辽宁省,东北,鞍山市,台安县,鞍山市-台安县
巴彦高勒,BAC,True,True,True,False,False,127.41261265178,46.090552621333366,内蒙古自治区,华北,巴彦淖尔市,磴口县,巴彦淖尔市-磴口县-高勒镇东升路
连江,LKS,True,True,True,True,True,119.566617,26.193957,福建省,华东,福州市,连江县,福州市-连江县-站前路
八苏木,,True,False,False,False,False,112.848305,40.952824,内蒙古自治区,华北,乌兰察布市,卓资县,乌兰察布市-卓资县
桐梓,TZW,True,True,True,False,False,106.831685,28.130398,贵州省,西南,遵义市,桐梓县,遵义市-桐梓县-人民路
阳曲西,IQV,True,True,True,False,False,112.647082,38.071432,山西省,华北,太原市,阳曲县,太原市-阳曲县-黄寨镇北留村西
长虹,,True,False,False,False,False,123.991837,40.581348,辽宁省,东北,丹东市,凤城市,丹东市-凤城市
