train_no,origin_station,destination_station,station_train_code
78000D356305,贵阳北,北海,D3563
71000D356408,梧州南,贵阳北,D3564
78000D356707,贵阳北,梧州南,D3567
73000D356808,北海,贵阳北,D3568
73000D357008,北海,贵阳北,D3570
78000D357103,贵阳北,南宁东,D3571
71000D357203,南宁东,贵阳北,D3572
71000D360103,梧州南,广州南,D3601
6c000D360208,广州南,南宁东,D3602
71000D36030G,南宁东,广州南,D3603
6c000D360406,广州南,南宁东,D3604
71000D36050B,南宁东,广州南,D3605
6c000D36060B,广州南,南宁东,D3606
71000D36070A,南宁东,广州南,D3607
6e000D360801,珠海,南宁东,D3608
71000D360909,南宁东,广州南,D3609
6c000D36100A,广州南,南宁东,D3610
6c000D361203,广州南,南宁东,D3612
71000D361306,南宁东,广州南,D3613
6c000D361409,广州南,南宁东,D3614
6c000D361606,广州南,南宁东,D3616
6c000D36180A,广州南,南宁东,D3618
71000D361908,南宁东,广州南,D3619
6c000D362004,广州南,南宁东,D3620
71000D36210B,南宁东,广州南,D3621
71000D362308,南宁东,广州南,D3623
71000D362500,南宁东,广州南,D3625
71000D36270B,南宁东,广州南,D3627
6c000D362807,广州南,南宁东,D3628
71000D362908,南宁东,广州南,D3629
6c000D363006,广州南,南宁东,D3630
71000D363301,南宁东,广州南,D3633
6c000D363409,广州南,南宁东,D3634
71000D363505,南宁东,广州南,D3635
6c000D363607,广州南,南宁东,D3636
71000D363710,南宁东,珠海,D3637
6c000D363804,广州南,南宁东,D3638
71000D363908,南宁东,广州南,D3639
6c000D36400C,广州南,南宁东,D3640
71000D364108,南宁东,广州南,D3641
6c000D364204,广州南,南宁东,D3642
71000D364305,南宁东,广州南,D3643
6c000D364403,广州南,梧州南,D3644
71000D364510,南宁东,广州南,D3645
63000D367707,广州,南宁东,D3677
71000D367909,南宁东,广州,D3678
71000D367909,南宁东,广州,D3679
63000D367707,广州,南宁东,D3680
73000D370401,北海,广州南,D3701
73000D370401,北海,广州南,D3704
73000D370807,北海,广州南,D3705
6c000D37060A,广州南,北海,D3706
6c000D37060A,广州南,北海,D3707
73000D370807,北海,广州南,D3708
73000D371208,北海,广州南,D3709
6c000D371006,广州南,北海,D3710
6c000D371006,广州南,北海,D3711
73000D371208,北海,广州南,D3712
6c000D37140A,广州南,北海,D3714
6c000D37140A,广州南,北海,D3715
73000D372005,北海,广州南,D3717
73000D372005,北海,广州南,D3720
73000D372406,北海,广州南,D3721
6c000D372205,广州南,北海,D3722
6c000D372205,广州南,北海,D3723
73000D372406,北海,广州南,D3724
73000D372807,北海,广州南,D3725
6c000D372606,广州南,北海,D3726
6c000D372606,广州南,北海,D3727
73000D372807,北海,广州南,D3728
6c000D373003,广州南,北海,D3730
6c000D373003,广州南,北海,D3731
73000D37360P,北海,广州南,D3733
6c000D37340H,广州南,北海,D3734
6c000D37340H,广州南,北海,D3735
73000D37360P,北海,广州南,D3736
73000D37400D,北海,广州南,D3737
6c000D37380B,广州南,北海,D3738
6c000D37380B,广州南,北海,D3739
73000D37400D,北海,广州南,D3740
6c000D374201,广州南,北海,D3742
6c000D374201,广州南,北海,D3743
73000D374800,防城港北,广州南,D3745
6c000D374600,广州南,防城港北,D3746
6c000D374600,广州南,防城港北,D3747
73000D374800,防城港北,广州南,D3748
71000D37510A,柳州,广州南,D3751
6c000D375208,广州南,柳州,D3752
71000D37530A,柳州,广州南,D3753
6c000D375405,广州南,柳州,D3754
71000D375506,柳州,广州南,D3755
6c000D375605,广州南,柳州,D3756
71000D375706,柳州,广州南,D3757
